,feature_a,feature_b,range_a,range_b,frequency_a_mhz,frequency_b_mhz,distance_mhz,correlation,abs_correlation
95,350__293.866667MHz,350__337.866667MHz,350,350,293.866667,337.866667,44.0,-0.9999163318976244,0.9999163318976244
96,350__294.266667MHz,350__338.800000MHz,350,350,294.266667,338.8,44.53333300000003,-0.9999160854562339,0.9999160854562339
97,350__293.866667MHz,350__336.533333MHz,350,350,293.866667,336.533333,42.66666600000002,-0.9999154336160179,0.9999154336160179
98,350__294.266667MHz,350__337.333333MHz,350,350,294.266667,337.333333,43.066666,-0.9999154003089252,0.9999154003089252
99,350__294.400000MHz,350__338.800000MHz,350,350,294.4,338.8,44.400000000000034,-0.9999150787531625,0.9999150787531625
100,350__294.000000MHz,350__338.533333MHz,350,350,294.0,338.533333,44.53333300000003,-0.9999148516319458,0.9999148516319458
101,350__294.000000MHz,350__336.800000MHz,350,350,294.0,336.8,42.80000000000001,-0.9999147667157583,0.9999147667157583
102,350__294.533333MHz,350__338.666667MHz,350,350,294.533333,338.666667,44.13333399999999,-0.9999147644187655,0.9999147644187655
103,350__293.466667MHz,350__336.133333MHz,350,350,293.466667,336.133333,42.66666600000002,-0.9999136976707561,0.9999136976707561
104,350__294.133333MHz,350__338.800000MHz,350,350,294.133333,338.8,44.66666700000002,-0.9999135333108073,0.9999135333108073
105,350__294.533333MHz,350__337.866667MHz,350,350,294.533333,337.866667,43.33333399999998,-0.9999131938092136,0.9999131938092136
106,350__294.000000MHz,350__338.666667MHz,350,350,294.0,338.666667,44.66666700000002,-0.999912988098986,0.999912988098986
107,350__293.733333MHz,350__336.266667MHz,350,350,293.733333,336.266667,42.53333399999997,-0.9999122964357643,0.9999122964357643
108,350__294.400000MHz,350__337.466667MHz,350,350,294.4,337.466667,43.066666999999995,-0.9999111875683956,0.9999111875683956
109,350__294.400000MHz,350__338.933333MHz,350,350,294.4,338.933333,44.53333300000003,-0.9999100167726601,0.9999100167726601
110,350__293.600000MHz,350__337.466667MHz,350,350,293.6,337.466667,43.86666699999995,-0.9999086803114752,0.9999086803114752
111,350__293.200000MHz,350__336.666667MHz,350,350,293.2,336.666667,43.46666700000003,-0.999908281935705,0.999908281935705
112,350__293.200000MHz,350__336.133333MHz,350,350,293.2,336.133333,42.933333000000005,-0.9999067266497208,0.9999067266497208
113,350__293.866667MHz,350__336.400000MHz,350,350,293.866667,336.4,42.53333299999997,-0.9999064768531615,0.9999064768531615
114,350__294.266667MHz,350__338.933333MHz,350,350,294.266667,338.933333,44.66666600000002,-0.9999053798768373,0.9999053798768373
115,350__294.133333MHz,350__337.066667MHz,350,350,294.133333,337.066667,42.933334,-0.9999047830846739,0.9999047830846739
116,350__293.866667MHz,350__338.000000MHz,350,350,293.866667,338.0,44.13333299999999,-0.9999042095733948,0.9999042095733948
117,350__294.533333MHz,350__338.933333MHz,350,350,294.533333,338.933333,44.39999999999998,-0.9999026404285921,0.9999026404285921
118,350__294.533333MHz,350__338.800000MHz,350,350,294.533333,338.8,44.266666999999984,-0.9999022233514527,0.9999022233514527
119,350__293.600000MHz,350__337.600000MHz,350,350,293.6,337.6,44.0,-0.9999014958227295,0.9999014958227295
120,350__293.333333MHz,350__336.933333MHz,350,350,293.333333,336.933333,43.60000000000002,-0.9998995757835076,0.9998995757835076
121,350__293.466667MHz,350__337.333333MHz,350,350,293.466667,337.333333,43.86666600000001,-0.9998984914888742,0.9998984914888742
122,350__294.666667MHz,350__338.133333MHz,350,350,294.666667,338.133333,43.466665999999975,-0.999898467470833,0.999898467470833
123,350__294.133333MHz,350__338.933333MHz,350,350,294.133333,338.933333,44.80000000000001,-0.9998978944689508,0.9998978944689508
124,350__293.866667MHz,350__338.133333MHz,350,350,293.866667,338.133333,44.26666599999999,-0.9998973504346074,0.9998973504346074
125,350__293.600000MHz,350__336.133333MHz,350,350,293.6,336.133333,42.53333299999997,-0.9998960650882982,0.9998960650882982
126,350__294.000000MHz,350__338.800000MHz,350,350,294.0,338.8,44.80000000000001,-0.9998955591375428,0.9998955591375428
127,350__294.666667MHz,350__337.733333MHz,350,350,294.666667,337.733333,43.066666,-0.999895517285463,0.999895517285463
128,350__294.666667MHz,350__338.533333MHz,350,350,294.666667,338.533333,43.86666600000001,-0.9998954533585354,0.9998954533585354
129,350__294.666667MHz,350__338.400000MHz,350,350,294.666667,338.4,43.73333299999996,-0.9998950071550864,0.9998950071550864
130,350__293.333333MHz,350__337.066667MHz,350,350,293.333333,337.066667,43.73333400000001,-0.9998947802523983,0.9998947802523983
131,350__293.866667MHz,350__338.266667MHz,350,350,293.866667,338.266667,44.39999999999998,-0.9998938520662606,0.9998938520662606
132,350__293.333333MHz,350__335.866667MHz,350,350,293.333333,335.866667,42.533334000000025,-0.9998930048424735,0.9998930048424735
133,350__294.533333MHz,350__337.600000MHz,350,350,294.533333,337.6,43.066666999999995,-0.999892449107268,0.999892449107268
134,350__293.866667MHz,350__338.400000MHz,350,350,293.866667,338.4,44.53333299999997,-0.9998921432010437,0.9998921432010437
135,350__294.133333MHz,350__336.933333MHz,350,350,294.133333,336.933333,42.80000000000001,-0.9998917217194168,0.9998917217194168
136,350__294.666667MHz,350__338.666667MHz,350,350,294.666667,338.666667,44.0,-0.999889739365182,0.999889739365182
137,350__294.666667MHz,350__338.266667MHz,350,350,294.666667,338.266667,43.599999999999966,-0.9998897230365382,0.9998897230365382
138,350__293.333333MHz,350__336.000000MHz,350,350,293.333333,336.0,42.66666700000002,-0.999889129095142,0.999889129095142
139,350__294.266667MHz,350__337.200000MHz,350,350,294.266667,337.2,42.933333000000005,-0.9998888454471304,0.9998888454471304
140,350__294.000000MHz,350__336.666667MHz,350,350,294.0,336.666667,42.66666700000002,-0.9998882811989536,0.9998882811989536
141,350__293.200000MHz,350__336.800000MHz,350,350,293.2,336.8,43.60000000000002,-0.9998878106609606,0.9998878106609606
142,350__294.666667MHz,350__338.000000MHz,350,350,294.666667,338.0,43.33333299999998,-0.9998872112197636,0.9998872112197636
143,350__293.733333MHz,350__337.866667MHz,350,350,293.733333,337.866667,44.13333399999999,-0.9998864489033318,0.9998864489033318
144,350__294.400000MHz,350__339.066667MHz,350,350,294.4,339.066667,44.66666700000002,-0.9998860636654348,0.9998860636654348
145,350__294.666667MHz,350__337.866667MHz,350,350,294.666667,337.866667,43.19999999999999,-0.9998840621658309,0.9998840621658309
146,350__293.333333MHz,350__337.200000MHz,350,350,293.333333,337.2,43.86666700000001,-0.9998834569829835,0.9998834569829835
147,350__294.666667MHz,350__338.933333MHz,350,350,294.666667,338.933333,44.26666599999999,-0.9998825215206336,0.9998825215206336
148,350__294.400000MHz,350__337.333333MHz,350,350,294.4,337.333333,42.933333000000005,-0.9998824455910843,0.9998824455910843
149,350__293.200000MHz,350__335.866667MHz,350,350,293.2,335.866667,42.66666700000002,-0.9998819388470017,0.9998819388470017
150,350__293.466667MHz,350__335.866667MHz,350,350,293.466667,335.866667,42.400000000000034,-0.999881745223876,0.999881745223876
151,350__293.866667MHz,350__336.266667MHz,350,350,293.866667,336.266667,42.39999999999998,-0.9998811428135989,0.9998811428135989
152,350__294.266667MHz,350__339.066667MHz,350,350,294.266667,339.066667,44.80000000000001,-0.9998807599875174,0.9998807599875174
153,350__293.466667MHz,350__336.000000MHz,350,350,293.466667,336.0,42.53333300000003,-0.9998803226158124,0.9998803226158124
154,350__293.066667MHz,350__336.266667MHz,350,350,293.066667,336.266667,43.19999999999999,-0.9998800392359867,0.9998800392359867
155,350__294.133333MHz,350__336.800000MHz,350,350,294.133333,336.8,42.66666700000002,-0.9998788409164893,0.9998788409164893
156,350__294.533333MHz,350__339.066667MHz,350,350,294.533333,339.066667,44.53333399999997,-0.99987882137295,0.99987882137295
157,350__293.200000MHz,350__336.000000MHz,350,350,293.2,336.0,42.80000000000001,-0.9998784355741757,0.9998784355741757
158,350__294.666667MHz,350__338.800000MHz,350,350,294.666667,338.8,44.13333299999999,-0.9998783147623825,0.9998783147623825
159,350__293.600000MHz,350__337.733333MHz,350,350,293.6,337.733333,44.13333299999999,-0.9998779039996941,0.9998779039996941
160,350__294.533333MHz,350__337.466667MHz,350,350,294.533333,337.466667,42.933333999999945,-0.9998752767179203,0.9998752767179203
161,350__294.000000MHz,350__338.933333MHz,350,350,294.0,338.933333,44.933333000000005,-0.9998746660399846,0.9998746660399846
162,350__293.066667MHz,350__336.400000MHz,350,350,293.066667,336.4,43.33333299999998,-0.9998737629250543,0.9998737629250543
163,350__294.133333MHz,350__339.066667MHz,350,350,294.133333,339.066667,44.933334,-0.9998735859175475,0.9998735859175475
164,350__293.866667MHz,350__338.533333MHz,350,350,293.866667,338.533333,44.66666600000002,-0.9998730689901092,0.9998730689901092
165,350__293.733333MHz,350__336.133333MHz,350,350,293.733333,336.133333,42.39999999999998,-0.9998717665709035,0.9998717665709035
166,350__293.866667MHz,350__338.666667MHz,350,350,293.866667,338.666667,44.80000000000001,-0.9998710165827868,0.9998710165827868
167,350__293.333333MHz,350__335.733333MHz,350,350,293.333333,335.733333,42.400000000000034,-0.9998708703393483,0.9998708703393483
168,350__294.000000MHz,350__336.533333MHz,350,350,294.0,336.533333,42.53333300000003,-0.9998707980061269,0.9998707980061269
169,350__293.733333MHz,350__338.000000MHz,350,350,293.733333,338.0,44.266666999999984,-0.9998706996366385,0.9998706996366385
170,350__294.800000MHz,350__338.533333MHz,350,350,294.8,338.533333,43.733333000000016,-0.9998704188581018,0.9998704188581018
171,350__294.800000MHz,350__338.133333MHz,350,350,294.8,338.133333,43.33333299999998,-0.9998701708083986,0.9998701708083986
172,350__294.400000MHz,350__339.200000MHz,350,350,294.4,339.2,44.80000000000001,-0.9998680546899514,0.9998680546899514
173,350__294.266667MHz,350__337.066667MHz,350,350,294.266667,337.066667,42.80000000000001,-0.9998675211500149,0.9998675211500149
174,350__294.800000MHz,350__338.400000MHz,350,350,294.8,338.4,43.599999999999966,-0.9998669405583488,0.9998669405583488
175,350__293.066667MHz,350__336.533333MHz,350,350,293.066667,336.533333,43.46666600000003,-0.9998663242832201,0.9998663242832201
176,350__294.800000MHz,350__338.666667MHz,350,350,294.8,338.666667,43.86666700000001,-0.9998641759648736,0.9998641759648736
177,350__294.533333MHz,350__339.200000MHz,350,350,294.533333,339.2,44.66666699999996,-0.9998627613552719,0.9998627613552719
178,350__293.066667MHz,350__336.133333MHz,350,350,293.066667,336.133333,43.066666,-0.9998624926679295,0.9998624926679295
179,350__293.200000MHz,350__335.733333MHz,350,350,293.2,335.733333,42.53333300000003,-0.9998619704777403,0.9998619704777403
180,350__293.733333MHz,350__338.133333MHz,350,350,293.733333,338.133333,44.39999999999998,-0.9998611338756909,0.9998611338756909
181,350__294.800000MHz,350__338.933333MHz,350,350,294.8,338.933333,44.13333299999999,-0.9998610231800968,0.9998610231800968
182,350__294.800000MHz,350__338.266667MHz,350,350,294.8,338.266667,43.46666699999997,-0.9998609021432248,0.9998609021432248
183,350__293.600000MHz,350__336.000000MHz,350,350,293.6,336.0,42.39999999999998,-0.9998606045573437,0.9998606045573437
184,350__293.466667MHz,350__337.466667MHz,350,350,293.466667,337.466667,44.0,-0.9998598596947081,0.9998598596947081
185,350__293.600000MHz,350__335.866667MHz,350,350,293.6,335.866667,42.266666999999984,-0.999859506339479,0.999859506339479
186,350__294.800000MHz,350__337.733333MHz,350,350,294.8,337.733333,42.933333000000005,-0.9998592753542799,0.9998592753542799
187,350__294.266667MHz,350__339.200000MHz,350,350,294.266667,339.2,44.933333000000005,-0.9998592461436833,0.9998592461436833
188,350__294.666667MHz,350__339.066667MHz,350,350,294.666667,339.066667,44.39999999999998,-0.9998585193032811,0.9998585193032811
189,350__293.733333MHz,350__338.266667MHz,350,350,293.733333,338.266667,44.53333399999997,-0.9998582530058364,0.9998582530058364
190,350__294.000000MHz,350__336.400000MHz,350,350,294.0,336.4,42.39999999999998,-0.9998581817460783,0.9998581817460783
191,350__293.466667MHz,350__335.733333MHz,350,350,293.466667,335.733333,42.26666600000004,-0.9998577742944907,0.9998577742944907
192,350__293.333333MHz,350__335.600000MHz,350,350,293.333333,335.6,42.26666700000004,-0.9998564186163844,0.9998564186163844
193,350__294.800000MHz,350__338.000000MHz,350,350,294.8,338.0,43.19999999999999,-0.9998564174831777,0.9998564174831777
194,350__294.400000MHz,350__339.333333MHz,350,350,294.4,339.333333,44.933333000000005,-0.9998562820572102,0.9998562820572102
195,350__293.733333MHz,350__338.400000MHz,350,350,293.733333,338.4,44.66666699999996,-0.9998549856099312,0.9998549856099312
196,350__294.533333MHz,350__339.333333MHz,350,350,294.533333,339.333333,44.799999999999955,-0.9998538958101263,0.9998538958101263
197,350__294.800000MHz,350__338.800000MHz,350,350,294.8,338.8,44.0,-0.9998530277480231,0.9998530277480231
198,350__294.800000MHz,350__337.866667MHz,350,350,294.8,337.866667,43.066666999999995,-0.9998514691854369,0.9998514691854369
199,350__293.866667MHz,350__338.800000MHz,350,350,293.866667,338.8,44.933333000000005,-0.9998512880523376,0.9998512880523376
200,350__294.266667MHz,350__336.933333MHz,350,350,294.266667,336.933333,42.66666600000002,-0.9998512646106557,0.9998512646106557
201,350__294.666667MHz,350__337.600000MHz,350,350,294.666667,337.6,42.933333000000005,-0.9998512332350477,0.9998512332350477
202,350__294.133333MHz,350__339.200000MHz,350,350,294.133333,339.2,45.066666999999995,-0.9998506188101722,0.9998506188101722
203,350__294.000000MHz,350__339.066667MHz,350,350,294.0,339.066667,45.066666999999995,-0.9998505897484868,0.9998505897484868
204,350__294.133333MHz,350__336.666667MHz,350,350,294.133333,336.666667,42.533334000000025,-0.9998497917581092,0.9998497917581092
205,350__293.333333MHz,350__335.466667MHz,350,350,293.333333,335.466667,42.13333399999999,-0.9998495913155677,0.9998495913155677
206,350__294.400000MHz,350__337.200000MHz,350,350,294.4,337.2,42.80000000000001,-0.9998486987942876,0.9998486987942876
207,350__293.466667MHz,350__337.600000MHz,350,350,293.466667,337.6,44.13333300000005,-0.9998485127652592,0.9998485127652592
208,350__293.200000MHz,350__335.066667MHz,350,350,293.2,335.066667,41.86666700000001,-0.9998481987290753,0.9998481987290753
209,350__293.200000MHz,350__335.600000MHz,350,350,293.2,335.6,42.400000000000034,-0.9998462823645294,0.9998462823645294
210,350__293.066667MHz,350__336.666667MHz,350,350,293.066667,336.666667,43.60000000000002,-0.9998460492791178,0.9998460492791178
211,350__294.666667MHz,350__339.200000MHz,350,350,294.666667,339.2,44.53333299999997,-0.9998457432772284,0.9998457432772284
212,350__293.200000MHz,350__336.933333MHz,350,350,293.2,336.933333,43.733333000000016,-0.9998448904660439,0.9998448904660439
213,350__293.466667MHz,350__335.600000MHz,350,350,293.466667,335.6,42.13333300000005,-0.9998435927353909,0.9998435927353909
214,350__294.533333MHz,350__339.733333MHz,350,350,294.533333,339.733333,45.19999999999999,-0.99984354475175,0.99984354475175
215,350__294.266667MHz,350__339.333333MHz,350,350,294.266667,339.333333,45.066666,-0.9998433674646636,0.9998433674646636
216,350__293.333333MHz,350__337.333333MHz,350,350,293.333333,337.333333,44.0,-0.9998427785262688,0.9998427785262688
217,350__294.666667MHz,350__339.333333MHz,350,350,294.666667,339.333333,44.666665999999964,-0.9998405204726445,0.9998405204726445
218,350__293.066667MHz,350__335.866667MHz,350,350,293.066667,335.866667,42.80000000000001,-0.9998400688080469,0.9998400688080469
219,350__293.866667MHz,350__336.133333MHz,350,350,293.866667,336.133333,42.26666599999999,-0.9998399521970717,0.9998399521970717
220,350__294.400000MHz,350__339.733333MHz,350,350,294.4,339.733333,45.33333300000004,-0.9998398698994735,0.9998398698994735
221,350__293.200000MHz,350__335.466667MHz,350,350,293.2,335.466667,42.266666999999984,-0.9998398270114928,0.9998398270114928
222,350__294.400000MHz,350__339.466667MHz,350,350,294.4,339.466667,45.066666999999995,-0.9998397176640285,0.9998397176640285
223,350__294.533333MHz,350__339.466667MHz,350,350,294.533333,339.466667,44.933333999999945,-0.9998389788324353,0.9998389788324353
