Frequency(Hz),Air,Water,NaOH,HCl,NaCl,Ethanol,Glycerol,nothing
26240000,-70.03,-74.65,-75.87,-75.9,-75.74,-72.79,-74.29,-69.72
26626667,-72.97,-79.22,-80.14,-80.84,-80.13,-78.3,-78.5,-71.71
27013333,-78.57,-82.85,-82.48,-81.92,-82.97,-81.32,-82.03,-77.38
27400000,-82.59,-83.55,-83.93,-83.67,-83.54,-83.67,-83.53,-81.32
27786667,-83.53,-83.73,-84.74,-84.72,-85.43,-84.16,-85.19,-83.08
28173333,-85.41,-85.59,-84.91,-85.12,-85.06,-85.68,-85.9,-83.95
28560000,-84.64,-85,-84.84,-84.95,-84.73,-86.02,-84.9,-84.73
28946667,-85.05,-85.93,-85.34,-85.39,-85.25,-86.31,-85.56,-85.98
29333333,-86.26,-85.22,-86.08,-85.49,-85.28,-85.6,-85.53,-85.53
29720000,-85.18,-85.52,-85.52,-85.42,-86.05,-85.1,-85.26,-85.53
30106667,-85.47,-85.82,-84.78,-85.36,-85.83,-85.52,-86.4,-85.57
30493333,-86.05,-84.76,-85.98,-85.16,-85.67,-85.28,-84.98,-85.16
30880000,-85.53,-84.3,-84.4,-84.98,-85.61,-84.49,-85.03,-84.86
31266667,-84.36,-84.7,-84.75,-84.65,-84.69,-83.84,-84.86,-84.87
31653333,-84.21,-84.45,-84.18,-84.51,-84.5,-84.43,-84.79,-84.49
32040000,-84.56,-83.89,-83.87,-84.35,-83.87,-83.64,-84.04,-84.03
32426667,-83.48,-83.17,-83.95,-83.83,-82.92,-83.53,-83.8,-84.77
32813333,-83.14,-83.66,-83.05,-83.48,-83.25,-83.5,-83.4,-84.28
33200000,-82.27,-83.49,-83.02,-82.47,-83.55,-82.82,-82.71,-83.52
33586667,-83.42,-83.22,-82.52,-82.3,-82.22,-83.2,-81.65,-82.97
33973333,-83.14,-81.75,-81.78,-81.76,-82.09,-82.18,-83.96,-83.15
34360000,-82.37,-81.63,-81.79,-82.03,-81.47,-81.22,-81.98,-82.11
34746667,-81.5,-81.5,-80.92,-81.36,-81.12,-81.61,-81.58,-81.2
35133333,-81.66,-81.55,-80.59,-81.01,-81.48,-81.8,-81.13,-82.02
35520000,-81.16,-80.89,-81.83,-80.91,-81.14,-80.97,-80.99,-81.55
35906667,-81.83,-80.85,-81.28,-81.02,-80.47,-80.88,-80.92,-81.66
36293333,-81,-80.16,-81.01,-80.94,-79.92,-80.78,-80.43,-81.44
36680000,-81.51,-80.41,-79.58,-79.89,-79.47,-79.77,-79.85,-80.83
37066667,-81.07,-79.55,-80.35,-79.25,-78.89,-80.58,-80.29,-80.34
37453333,-80.41,-79.82,-79.13,-79.65,-79.05,-80.14,-80.04,-79.96
37840000,-80.71,-79.25,-79.83,-78.52,-78.87,-79.77,-79.44,-80.65
38226667,-79.92,-79.7,-79.34,-79.03,-78.55,-79.45,-78.96,-80.61
38613333,-79.95,-79.08,-78.98,-78.17,-78.2,-78.7,-78.88,-79.62
39000000,-79.06,-78.27,-78.27,-78.96,-77.91,-77.97,-78.55,-79.81
39386667,-79.14,-78.06,-77.86,-77.27,-76.95,-78.12,-77.94,-78.52
39773333,-78.12,-77.58,-77.42,-76.82,-76.92,-77.84,-77.63,-78.05
40160000,-78.25,-77.44,-76.8,-77.46,-76.53,-77.06,-77.04,-77.74
40546667,-77.34,-76.47,-75.78,-76.31,-75.33,-75.96,-76.6,-77.24
40933333,-76.88,-75.62,-75.23,-75.1,-74.31,-75.69,-75.43,-76.59
41320000,-75.51,-74.55,-74.39,-74.31,-73.62,-74.92,-74.34,-75.88
41706667,-74.64,-73.42,-73.07,-72.95,-72.54,-73.51,-73.51,-75.25
42093333,-73.42,-72.42,-72.05,-72.11,-71.33,-72.73,-72.59,-73.94
42480000,-72.79,-71.01,-70.85,-70.91,-69.76,-71.6,-71.05,-72.9
42866667,-71.55,-69.78,-69.3,-69.19,-68.45,-70.08,-69.87,-71.53
43253333,-70.37,-68.14,-67.85,-67.6,-66.97,-68.72,-68.5,-70.22
43640000,-69.05,-66.78,-65.91,-66.15,-65.39,-67.29,-66.91,-69
44026667,-67.77,-65.06,-64,-64.29,-63.52,-65.74,-65.31,-67.75
44413333,-66.12,-63.1,-62.03,-62.26,-61.48,-64.19,-63.65,-66.4
44800000,-64.92,-61.03,-59.77,-60.18,-59.13,-62.26,-61.71,-65.04
45186667,-63.11,-58.4,-57,-57.7,-56.42,-60.14,-59.54,-63.42
45573333,-61.22,-55.26,-54.59,-55.65,-53.82,-57.49,-56.98,-61.72
45960000,-58.9,-52.42,-53.99,-55.08,-53.3,-54.47,-54.28,-59.52
46346667,-56.15,-52.06,-55.03,-55.89,-54.55,-52.19,-53.26,-56.89
46733333,-53.39,-54.13,-57.5,-58.01,-57.22,-52.22,-53.83,-54.11
47120000,-52.45,-57.34,-60.14,-60.33,-59.77,-54.71,-56.45,-52.4
47506667,-53.53,-60.1,-62.36,-62.58,-61.93,-57.9,-59.22,-52.96
47893333,-56.55,-62.43,-64.27,-64.4,-64,-60.54,-61.43,-55.7
48280000,-59.4,-64.28,-65.82,-65.87,-65.65,-62.72,-63.64,-58.69
48666667,-61.91,-65.93,-67.44,-67.41,-67.5,-64.87,-65.41,-61.44
49053333,-64.2,-67.69,-68.76,-68.9,-68.81,-66.54,-67.02,-63.66
49440000,-65.83,-69.07,-70.01,-70.07,-69.76,-68.13,-68.49,-65.46
49826667,-67.66,-70.26,-71.46,-71.27,-71.06,-69.48,-69.9,-67.52
50213333,-69.13,-71.71,-72.49,-72.32,-72.05,-70.75,-71.03,-68.76
50600000,-70.22,-72.58,-73.03,-73.36,-73.06,-71.64,-72.09,-70.18
50986667,-71.25,-73.58,-74.3,-74.52,-74.03,-72.69,-73.07,-71.22
51373333,-72.8,-74.27,-75.34,-75.31,-74.91,-73.88,-73.95,-72.39
51760000,-73.3,-75.07,-75.87,-76.01,-75.48,-74.34,-74.32,-73.11
52146667,-74.11,-75.5,-76.25,-76.26,-76.28,-74.73,-75.34,-73.7
52533333,-74.21,-75.95,-76.54,-76.43,-76.49,-75.29,-75.4,-74.15
52920000,-74.71,-76.22,-76.75,-76.57,-76.91,-75.86,-76.41,-74.24
53306667,-75.17,-76.15,-77.31,-77.21,-76.71,-75.7,-75.6,-74.91
53693333,-74.74,-76.33,-76.45,-77.27,-76.61,-75.55,-75.83,-75.2
54080000,-75.1,-76.1,-76.93,-76.47,-76.33,-75.97,-76.3,-74.82
54466667,-74.81,-76.13,-76.48,-76.57,-76.41,-75.89,-75.87,-74.94
54853333,-74.76,-76.01,-76.33,-76.57,-76.43,-75.26,-75.43,-74.87
55240000,-74.27,-75.84,-76.04,-76.03,-75.69,-75.15,-75.62,-74.07
55626667,-74.03,-75.01,-76.02,-76.13,-75.98,-74.62,-75.14,-74.36
56013333,-73.91,-75.1,-75.66,-75.71,-75.4,-74.76,-74.49,-74.16
56400000,-73.63,-74.98,-75.32,-75.27,-75.24,-74.46,-74.6,-73.58
56786667,-73.45,-74.42,-74.89,-75.08,-74.73,-74.06,-74.1,-73.18
57173333,-73.43,-74.55,-74.43,-74.59,-74.51,-73.75,-73.84,-72.99
57560000,-72.91,-73.97,-74.29,-74.74,-74.24,-73.18,-74.09,-72.71
57946667,-72.73,-73.57,-74.21,-74.27,-73.9,-73.35,-73.36,-72.5
58333333,-72.47,-73.37,-73.74,-73.89,-73.38,-72.77,-73.19,-72.32
58720000,-72.13,-72.93,-73.38,-73.41,-73.19,-72.67,-72.71,-72
59106667,-71.89,-72.52,-73.05,-73.27,-73.21,-72.46,-72.4,-71.56
59493333,-71.64,-72.46,-72.75,-72.7,-72.87,-72.2,-72.45,-71.55
59880000,-71.6,-72.11,-72.62,-72.59,-72.58,-72.04,-72.01,-71.49
60266667,-71.24,-71.88,-72.23,-72.38,-72.32,-71.38,-71.59,-71.17
60653333,-70.99,-71.36,-72.08,-72.22,-71.98,-71.22,-71.45,-71
61040000,-70.57,-71.34,-71.69,-71.71,-71.74,-70.99,-71.13,-70.61
61426667,-70.55,-71.06,-71.32,-71.47,-71.25,-70.91,-71.14,-70.28
61813333,-69.98,-70.81,-70.96,-71.07,-71.1,-70.55,-70.62,-70.08
62200000,-69.95,-70.53,-70.58,-70.78,-70.67,-70.01,-70.3,-69.71
62586667,-69.54,-69.92,-70.46,-70.39,-70.52,-70.04,-70.12,-69.49
62973333,-69.1,-69.94,-70.16,-69.86,-70.13,-69.45,-69.48,-69.15
63360000,-68.91,-69.46,-69.84,-69.75,-69.65,-69.22,-69.16,-68.94
63746667,-68.55,-69.16,-69.26,-69.31,-69.29,-69.06,-68.87,-68.54
64133333,-68.34,-68.63,-68.91,-68.99,-68.92,-68.57,-68.51,-68.17
64520000,-68.01,-68.12,-68.49,-68.69,-68.46,-68.06,-68.04,-67.82
64906667,-67.61,-67.96,-68.06,-67.98,-67.79,-67.45,-67.77,-67.37
65293333,-67.07,-67.19,-67.37,-67.48,-67.43,-67.24,-67.27,-67.03
65680000,-66.72,-66.69,-66.76,-67.03,-66.76,-66.63,-66.86,-66.75
66066667,-66.25,-66.25,-66.31,-66.44,-66.11,-66.26,-66.35,-66.3
66453333,-65.76,-65.39,-65.52,-65.64,-65.45,-65.65,-65.72,-65.75
66840000,-65.24,-64.67,-64.74,-65.01,-64.6,-64.97,-65.04,-65.27
67226667,-64.71,-63.75,-63.97,-64.29,-63.8,-64.19,-64.38,-64.7
67613333,-63.9,-62.8,-63.7,-64,-63.31,-63.27,-63.53,-63.93
68000000,-63.02,-61.63,-63.99,-64.3,-63.58,-62.15,-62.8,-63.15
68386667,-62.01,-61.3,-65.93,-66.07,-65.52,-61.18,-62.22,-62.26
68773333,-60.97,-62.06,-69.53,-69.25,-69.25,-60.64,-62.3,-61.03
69160000,-59.67,-64.78,-74.13,-73.33,-74.16,-60.88,-63.06,-59.94
69546667,-59.09,-68.65,-80.86,-78.92,-80.47,-62.68,-65.48,-59.04
69933333,-59.21,-73.52,-84.2,-83.43,-84.56,-66.18,-68.84,-58.94
70320000,-60.97,-79.16,-82.17,-82.35,-82.03,-70.34,-72.75,-60.36
70706667,-64,-83.93,-79.62,-79.04,-79.23,-74.84,-77.65,-63.15
71093333,-67.71,-83,-77.13,-78.01,-77.05,-79.91,-83.42,-66.74
71480000,-71.05,-80.21,-75.53,-76.1,-75.71,-83.14,-85.06,-70.04
71866667,-74.83,-78.05,-74.76,-75.21,-74.65,-81.94,-82.2,-73.59
72253333,-77.88,-76.55,-73.95,-74.68,-73.78,-79.54,-79.74,-77.4
72640000,-79.76,-75.16,-73.31,-73.23,-73.47,-77.7,-77.55,-79.37
73026667,-79.8,-74.82,-72.88,-73.01,-72.75,-76.44,-76.74,-80.11
73413333,-78.98,-73.89,-72.43,-72.49,-72.43,-75.41,-75.6,-79.33
73800000,-77.13,-73.27,-72.06,-72.29,-72.07,-74.66,-74.66,-77.99
74186667,-76.33,-73.01,-71.7,-72.03,-71.62,-74.18,-74.27,-77.28
74573333,-76.01,-72.15,-71.4,-72,-71.5,-73.82,-73.76,-75.81
74960000,-75.15,-72.35,-71.41,-71.43,-71.41,-73.21,-73.47,-75.24
75346667,-74.64,-71.75,-71.1,-71.4,-71.09,-72.78,-72.82,-74.69
75733333,-74.54,-71.66,-71.11,-71.26,-71.11,-72.8,-72.55,-74.3
76120000,-73.68,-71.38,-70.83,-71.34,-70.95,-72.37,-72.48,-73.76
76506667,-73.64,-71.67,-70.84,-70.88,-70.94,-72.34,-72.64,-73.47
76893333,-73.2,-71.4,-70.8,-70.94,-70.7,-72.05,-72.19,-73.23
77280000,-73.16,-71.36,-70.96,-70.95,-70.42,-72.01,-72.18,-73.15
77666667,-73.13,-71.16,-70.78,-71.07,-70.78,-72.24,-72.37,-72.88
78053333,-73.13,-71.52,-70.81,-71.15,-70.9,-72.01,-71.97,-73.18
78440000,-72.75,-71.19,-70.58,-70.87,-70.38,-72.04,-72.16,-72.62
78826667,-72.77,-71.38,-71.08,-71.28,-70.94,-71.89,-72.14,-73.09
79213333,-72.8,-71.65,-70.72,-71.04,-70.65,-71.9,-72.24,-72.81
79600000,-72.78,-71.71,-71.09,-71.46,-71.02,-71.92,-72.5,-72.87
79986667,-73.06,-71.49,-71.08,-71.48,-70.98,-72.17,-72.55,-72.91
80373333,-72.81,-71.81,-71.37,-71.31,-71.14,-72.04,-72.66,-72.55
80760000,-72.76,-71.75,-71.52,-71.27,-71.18,-72.25,-72.3,-72.69
81146667,-72.81,-71.76,-71.35,-71.68,-71.55,-72.54,-72.74,-73
81533333,-72.64,-72.09,-71.78,-71.87,-71.51,-72.33,-72.56,-72.75
81920000,-72.35,-71.97,-71.65,-71.83,-71.65,-72.21,-72.57,-72.56
82306667,-72.43,-72.18,-72.07,-72.09,-71.68,-72.69,-72.68,-72.75
82693333,-72.58,-72.32,-71.94,-72.26,-71.71,-72.41,-72.92,-72.23
83080000,-72.51,-72.3,-71.89,-72.4,-71.89,-72.26,-73.02,-72.02
83466667,-72.44,-72.13,-72.29,-72.45,-71.9,-72.66,-72.7,-72.36
83853333,-72.46,-72.25,-72.48,-72.42,-71.7,-72.26,-72.61,-71.82
84240000,-71.9,-72.01,-72.17,-72.45,-71.93,-72.12,-72.44,-71.79
84626667,-71.77,-71.84,-72.19,-72.27,-71.88,-72.09,-72.35,-71.59
85013333,-71.61,-72.05,-72.04,-72.37,-71.82,-71.96,-72.08,-71.41
85400000,-71.25,-72.04,-72.05,-72.08,-71.6,-71.6,-71.75,-71.29
85786667,-71.08,-71.44,-72.03,-71.71,-71.58,-71.31,-71.73,-71.18
86173333,-70.61,-71.43,-71.86,-71.95,-71.39,-71.25,-71.62,-70.5
86560000,-70.45,-70.95,-71.36,-71.47,-71.36,-70.91,-71.24,-70.57
86946667,-70.32,-70.83,-71.11,-71.24,-70.86,-70.45,-70.93,-70.32
87333333,-69.72,-70.56,-70.8,-71.24,-70.69,-70.36,-70.61,-69.99
87720000,-69.58,-70.33,-70.7,-70.69,-70.32,-69.79,-70.56,-69.58
88106667,-69.66,-69.83,-70.3,-70.48,-70.06,-69.77,-70.21,-69.35
88493333,-69.17,-69.43,-70.03,-70.1,-69.79,-69.48,-69.55,-69.13
88880000,-68.71,-69.24,-69.52,-69.72,-69.39,-69.12,-69.52,-68.66
89266667,-68.59,-68.8,-69.36,-69.47,-68.95,-68.77,-69.26,-68.47
89653333,-68.19,-68.51,-68.83,-69.05,-68.63,-68.66,-68.74,-68.07
90040000,-68.22,-68.22,-68.61,-68.71,-68.34,-68.2,-68.56,-68.04
90426667,-67.74,-67.85,-67.99,-68.25,-67.91,-67.82,-68.15,-67.77
90813333,-67.48,-67.44,-67.48,-67.87,-67.5,-67.58,-67.89,-67.3
91200000,-67.12,-67.31,-67.48,-67.38,-67.26,-67.27,-67.62,-67.11
91586667,-66.91,-66.95,-67.03,-67.07,-66.86,-66.94,-67.16,-67.03
91973333,-66.61,-66.54,-66.65,-66.77,-66.37,-66.66,-67.05,-66.7
92360000,-66.51,-66.17,-66.29,-66.33,-66.04,-66.39,-66.68,-66.36
92746667,-66.14,-65.94,-65.83,-65.97,-65.77,-65.95,-66.4,-66.3
93133333,-66.03,-65.37,-65.38,-65.67,-65.32,-65.8,-65.99,-65.95
93520000,-65.74,-65.15,-65.21,-65.1,-64.87,-65.46,-65.76,-65.67
93906667,-65.39,-64.6,-64.61,-64.77,-64.46,-65.17,-65.56,-65.4
94293333,-64.96,-64.3,-64.28,-64.3,-64.05,-64.71,-65.07,-64.87
94680000,-64.76,-63.74,-63.82,-63.86,-63.68,-64.17,-64.61,-64.62
95066667,-64.27,-63.31,-63.48,-63.56,-63.32,-63.76,-64.23,-64.2
95453333,-63.69,-62.75,-62.86,-62.95,-62.76,-63.22,-63.66,-63.74
95840000,-63.21,-62.16,-62.58,-62.52,-62.38,-62.5,-63,-63.14
96226667,-62.55,-61.57,-62.21,-62.4,-62.17,-61.95,-62.47,-62.68
96613333,-62.02,-60.88,-61.91,-62.07,-61.82,-61.05,-61.83,-61.91
97000000,-61.2,-60.28,-61.73,-61.83,-61.73,-60.46,-61.17,-61.29
97386667,-60.49,-59.92,-61.62,-61.68,-61.62,-59.78,-60.59,-60.51
97773333,-59.75,-59.62,-61.37,-61.52,-61.39,-59.19,-60.03,-59.79
98160000,-59.06,-59.27,-61.27,-61.43,-61.34,-58.66,-59.58,-59.08
98546667,-58.29,-59.07,-61.14,-61.27,-61.17,-58.2,-59.14,-58.39
98933333,-57.57,-58.83,-60.91,-61.12,-61.07,-57.77,-58.76,-57.62
99320000,-56.93,-58.76,-60.81,-60.88,-60.92,-57.45,-58.44,-56.97
99706667,-56.46,-58.64,-60.61,-60.78,-60.78,-57.26,-58.1,-56.39
100093333,-56.05,-58.58,-60.52,-60.65,-60.6,-57.14,-57.91,-55.9
100480000,-55.82,-58.53,-60.3,-60.38,-60.48,-57.06,-57.83,-55.63
100866667,-55.65,-58.48,-60.17,-60.18,-60.27,-57.07,-57.75,-55.51
101253333,-55.65,-58.43,-60,-60.11,-60.17,-57.15,-57.78,-55.46
101640000,-55.6,-58.31,-59.77,-59.81,-59.91,-57.1,-57.65,-55.39
102026667,-55.64,-58.22,-59.61,-59.59,-59.71,-57.11,-57.63,-55.47
102413333,-55.75,-58.11,-59.37,-59.45,-59.44,-57.13,-57.64,-55.63
102800000,-55.83,-57.98,-59.1,-59.15,-59.15,-57.12,-57.53,-55.71
103186667,-55.87,-57.79,-58.81,-58.82,-58.93,-57.1,-57.49,-55.8
103573333,-55.96,-57.63,-58.58,-58.57,-58.67,-57.01,-57.36,-55.92
103960000,-56.05,-57.35,-58.2,-58.23,-58.31,-56.91,-57.19,-56.01
104346667,-56.03,-57.13,-57.78,-57.82,-57.9,-56.7,-57.04,-55.98
104733333,-56.04,-56.8,-57.49,-57.44,-57.56,-56.52,-56.89,-56.04
105120000,-56.02,-56.52,-57.06,-57.16,-57.1,-56.37,-56.71,-55.99
105506667,-55.92,-56.2,-56.6,-56.64,-56.72,-56.13,-56.57,-55.91
105893333,-55.81,-55.78,-56.23,-56.23,-56.21,-55.86,-56.23,-55.82
106280000,-55.69,-55.35,-55.73,-55.87,-55.74,-55.58,-56.03,-55.71
106666667,-55.43,-54.9,-55.25,-55.36,-55.21,-55.16,-55.66,-55.48
107053333,-55.25,-54.44,-54.86,-55.01,-54.83,-54.78,-55.39,-55.22
107440000,-55.03,-54.03,-54.66,-54.85,-54.63,-54.44,-55.13,-55
107826667,-54.67,-53.65,-54.57,-54.7,-54.49,-54.01,-54.84,-54.72
108213333,-54.42,-53.51,-54.74,-54.85,-54.7,-53.71,-54.7,-54.43
108600000,-54.14,-53.62,-55.24,-55.33,-55.22,-53.59,-54.72,-54.18
108986667,-53.8,-54,-56.13,-56.12,-56.16,-53.61,-54.94,-53.81
109373333,-53.58,-54.7,-57.25,-57.1,-57.29,-53.82,-55.24,-53.58
109760000,-53.48,-55.87,-58.66,-58.53,-58.74,-54.51,-56.02,-53.54
110146667,-53.64,-57.18,-60.2,-59.89,-60.33,-55.48,-57,-53.56
110533333,-53.87,-58.68,-61.72,-61.37,-61.86,-56.55,-58.08,-53.78
110920000,-54.44,-60.24,-63.22,-62.9,-63.5,-57.9,-59.34,-54.34
111306667,-55.29,-61.81,-64.89,-64.37,-65.02,-59.36,-60.6,-55.1
111693333,-56.21,-63.25,-66.33,-65.98,-66.67,-60.78,-61.98,-56.01
112080000,-57.25,-64.74,-67.9,-67.39,-68.31,-62.11,-63.35,-57.03
112466667,-58.49,-66.28,-69.64,-69.03,-69.98,-63.53,-64.68,-58.23
112853333,-59.72,-67.92,-71.17,-70.51,-71.81,-65.03,-65.97,-59.41
113240000,-60.8,-69.44,-73.14,-71.76,-73.49,-66.23,-67.15,-60.54
113626667,-62.03,-70.97,-75.34,-73.77,-75.99,-67.54,-68.39,-61.56
114013333,-63.05,-72.36,-76.95,-75.4,-77.41,-68.88,-69.38,-62.55
114400000,-64.14,-73.95,-78.86,-76.88,-78.66,-69.87,-70.23,-63.4
114786667,-65.09,-75.36,-80.05,-77.86,-80,-70.78,-71.35,-64.34
115173333,-65.88,-76.74,-80.85,-78.99,-79.96,-71.57,-71.84,-65.14
115560000,-66.5,-77.96,-80.55,-79.52,-80.05,-72.37,-72.16,-65.82
115946667,-67.2,-77.44,-79.38,-79.44,-79.6,-73,-72.65,-66.47
116333333,-67.62,-78.29,-79.8,-78.77,-78.41,-73.37,-72.86,-67.1
116720000,-67.86,-77.78,-78.45,-78.17,-77.93,-73.05,-72.85,-67.4
117106667,-68.29,-77.81,-77.48,-77.77,-76.92,-73.17,-72.97,-67.74
117493333,-68.38,-77.04,-77.33,-77.12,-76.64,-73.58,-73,-68.14
117880000,-68.66,-76.68,-76.7,-76.65,-75.81,-73.58,-73,-68.2
118266667,-68.91,-76.07,-76.17,-76.41,-75.44,-73.54,-72.83,-68.23
118653333,-68.97,-76.08,-75.8,-76.15,-75.4,-73.52,-72.53,-68.65
119040000,-69.26,-75.71,-75.54,-75.9,-74.89,-73.39,-72.79,-68.62
119426667,-69.33,-75.99,-75.2,-75.68,-74.89,-73.6,-72.46,-69.1
119813333,-69.44,-75.64,-74.86,-75.52,-74.45,-73.5,-72.49,-69.03
120200000,-69.32,-75.83,-75.05,-75.19,-73.87,-73.33,-72.45,-69.17
120586667,-69.61,-75.5,-75.25,-75.17,-74.12,-73.73,-72.64,-69.06
120973333,-69.55,-75.59,-74.66,-75.38,-74.13,-73.54,-72.56,-69.07
121360000,-69.67,-75.54,-75.07,-75.11,-73.84,-73.73,-72.38,-69.24
121746667,-69.54,-75.58,-74.57,-75.19,-73.7,-73.5,-72.38,-69.18
122133333,-69.68,-75.28,-74.55,-74.94,-73.16,-73.22,-72.54,-69.2
122520000,-69.5,-75.79,-74.35,-74.9,-73.14,-73.56,-72.14,-69.01
122906667,-69.33,-75.21,-73.83,-74.64,-72.74,-73.15,-71.88,-69.05
123293333,-69.55,-75.15,-73.97,-74.39,-72.7,-73.11,-71.87,-69.04
123680000,-69.53,-75.05,-73.6,-73.99,-72.46,-73.3,-72.02,-68.89
124066667,-69.43,-75.29,-73.57,-74.24,-72.5,-73.17,-71.57,-68.92
124453333,-69.26,-74.83,-73.47,-73.64,-72.31,-73.06,-71.71,-68.96
124840000,-69.25,-74.86,-73.47,-73.9,-71.84,-73.14,-71.69,-68.96
125226667,-69.19,-74.91,-73.1,-73.47,-71.79,-72.98,-71.68,-68.72
125613333,-69.05,-74.52,-72.76,-73.09,-71.67,-72.84,-71.36,-68.8
126000000,-69.12,-74.64,-73,-73.31,-71.53,-72.84,-71.32,-68.5
126386667,-68.96,-74.62,-72.44,-72.87,-71.28,-72.48,-71.42,-68.5
126773333,-68.74,-74.91,-72.35,-72.74,-71.15,-72.3,-71.09,-68.44
127160000,-68.74,-74.51,-72.01,-72.49,-71.15,-72.6,-70.74,-68.19
127546667,-68.62,-74.29,-71.87,-72.41,-70.94,-72.38,-70.83,-68.2
127933333,-68.29,-73.95,-71.68,-72.07,-70.64,-72.13,-70.81,-67.9
128320000,-68.19,-73.81,-71.61,-71.74,-70.29,-72.25,-70.61,-67.78
128706667,-68.15,-74.18,-71.21,-71.48,-70.38,-72.19,-70.77,-67.56
129093333,-67.86,-73.48,-70.75,-71.09,-69.92,-71.79,-70.42,-67.57
129480000,-67.83,-73.05,-70.46,-70.93,-69.73,-71.69,-70.18,-67.18
129866667,-67.39,-73.26,-70.37,-70.94,-69.55,-71.73,-69.86,-67.05
130253333,-67.24,-73.25,-69.85,-70.19,-69.16,-71.54,-69.86,-66.84
130640000,-66.94,-72.9,-69.49,-70.14,-68.86,-71.15,-69.56,-66.77
131026667,-66.74,-72.73,-69.48,-69.86,-68.64,-71.03,-69.2,-66.38
131413333,-66.59,-72.48,-69,-69.39,-68.17,-70.81,-69.01,-66.17
131800000,-66.23,-72.17,-68.63,-69.2,-67.89,-70.54,-68.86,-65.87
132186667,-65.9,-72.1,-68.28,-68.86,-67.48,-70.53,-68.92,-65.49
